2023-07-12 14:12:43,986 [INFO]: OSManager has connected
2023-07-12 14:12:43,990 [INFO]: [ConsoleMenu] has initialized
2023-07-12 14:12:47,522 [INFO]: [OSManager]: Try to clear directory .\data\logs
2023-07-12 14:12:47,557 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-44-02.log was removed
2023-07-12 14:12:47,558 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-44-50.log was removed
2023-07-12 14:12:47,559 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-45-11.log was removed
2023-07-12 14:12:47,559 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-45-16.log was removed
2023-07-12 14:12:47,560 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-46-31.log was removed
2023-07-12 14:12:47,560 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-46-51.log was removed
2023-07-12 14:12:47,560 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-47-28.log was removed
2023-07-12 14:12:47,561 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-47-32.log was removed
2023-07-12 14:12:47,561 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-50-18.log was removed
2023-07-12 14:12:47,562 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-50-46.log was removed
2023-07-12 14:12:47,562 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-51-59.log was removed
2023-07-12 14:12:47,563 [INFO]: [OSManager]: .\data\logs\12-07-2023, 02-52-04.log was removed
2023-07-12 14:12:47,563 [INFO]: [OSManager]: .\data\logs\12-07-2023, 12-58-06.log was removed
2023-07-12 14:12:47,563 [INFO]: [OSManager]: .\data\logs\12-07-2023, 12-59-18.log was removed
2023-07-12 14:12:47,564 [INFO]: [OSManager]: .\data\logs\12-07-2023, 12-59-22.log was removed
2023-07-12 14:12:47,564 [INFO]: [OSManager]: .\data\logs\12-07-2023, 12-59-32.log was removed
2023-07-12 14:12:47,565 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-22-41.log was removed
2023-07-12 14:12:47,565 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-23-26.log was removed
2023-07-12 14:12:47,566 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-24-39.log was removed
2023-07-12 14:12:47,566 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-25-36.log was removed
2023-07-12 14:12:47,567 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-25-43.log was removed
2023-07-12 14:12:47,567 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-27-58.log was removed
2023-07-12 14:12:47,567 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-28-51.log was removed
2023-07-12 14:12:47,568 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-32-47.log was removed
2023-07-12 14:12:47,568 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-33-21.log was removed
2023-07-12 14:12:47,569 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-36-34.log was removed
2023-07-12 14:12:47,569 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-36-52.log was removed
2023-07-12 14:12:47,569 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-38-20.log was removed
2023-07-12 14:12:47,570 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-38-41.log was removed
2023-07-12 14:12:47,570 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-38-46.log was removed
2023-07-12 14:12:47,571 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-42-09.log was removed
2023-07-12 14:12:47,571 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-44-49.log was removed
2023-07-12 14:12:47,571 [INFO]: [OSManager]: .\data\logs\12-07-2023, 13-46-16.log was removed
2023-07-12 14:12:47,571 [INFO]: [OSManager]: Completed
